"","data","PIB"
"1",1996,12.1972236745501
"2",1996.25,12.2355892803189
"3",1996.5,12.2919812044052
"4",1996.75,12.3499236273704
"5",1997,12.3424408456276
"6",1997.25,12.3642292624357
"7",1997.5,12.3983854293568
"8",1997.75,12.4111255094737
"9",1998,12.4136420109524
"10",1998.25,12.4412830781412
"11",1998.5,12.4466851289858
"12",1998.75,12.4241017375581
"13",1999,12.4730968782878
"14",1999.25,12.5049913721523
"15",1999.5,12.5085619630672
"16",1999.75,12.5616089944434
"17",2000,12.5704503104806
"18",2000.25,12.5907643771454
"19",2000.5,12.62927311026
"20",2000.75,12.6482472123275
"21",2001,12.6891900975022
"22",2001.25,12.6907239019579
"23",2001.5,12.7038720806149
"24",2001.75,12.7291070973894
"25",2002,12.7793998999219
"26",2002.25,12.8166713056833
"27",2002.5,12.8369648805304
"28",2002.75,12.8697310978436
"29",2003,12.9284081082228
"30",2003.25,12.9481598201636
"31",2003.5,12.9823017583912
"32",2003.75,13.0158528472969
"33",2004,13.0422580353085
"34",2004.25,13.0881242494685
"35",2004.5,13.1216584068396
"36",2004.75,13.1438641097312
"37",2005,13.159151875881
"38",2005.25,13.1944844670968
"39",2005.5,13.2116683368761
"40",2005.75,13.2454350115831
"41",2006,13.2625925420787
"42",2006.25,13.2781301188397
"43",2006.5,13.3228704474491
"44",2006.75,13.3634469417124
"45",2007,13.3925617136378
"46",2007.25,13.4198454020347
"47",2007.5,13.4357393811641
"48",2007.75,13.4669020586829
"49",2008,13.5129032849648
"50",2008.25,13.5573664632135
"51",2008.5,13.5961174397698
"52",2008.75,13.5825857866671
"53",2009,13.5725882646311
"54",2009.25,13.601425032469
"55",2009.5,13.645504236573
"56",2009.75,13.7034930787825
"57",2010,13.729670236383
"58",2010.25,13.7623752681559
"59",2010.5,13.8041377591504
"60",2010.75,13.8432721067618
"61",2011,13.8645235369165
"62",2011.25,13.9023789393183
"63",2011.5,13.9139140846269
"64",2011.75,13.938211181275
"65",2012,13.9676729452359
"66",2012.25,13.9869807791686
"67",2012.5,14.0159078516301
"68",2012.75,14.0308408097745
"69",2013,14.0601103466632
"70",2013.25,14.0983874745889
"71",2013.5,14.1127804837425
"72",2013.75,14.1373047937837
"73",2014,14.1679509331502
"74",2014.25,14.171324062245
"75",2014.5,14.1905595514414
"76",2014.75,14.2031986678059
"77",2015,14.2159656855248
"78",2015.25,14.2110244881678
"79",2015.5,14.2224999988616
"80",2015.75,14.2316767004443
"81",2016,14.2442916453236
"82",2016.25,14.2627660073186
"83",2016.5,14.2678899935661
"84",2016.75,14.2837391903622
"85",2017,14.2985394008253
"86",2017.25,14.3074833868
"87",2017.5,14.3126121947978
"88",2017.75,14.336850036012
"89",2018,14.3570961845989
"90",2018.25,14.3691278228624
"91",2018.5,14.3822934036589
"92",2018.75,14.3933546666571
"93",2019,14.3993899606042
"94",2019.25,14.4201840660203
"95",2019.5,14.4440245403466
"96",2019.75,14.4516871757063
"97",2020,14.4631869404395
"98",2020.25,14.3823620875105
"99",2020.5,14.4699624629229
"100",2020.75,14.5140485848279
"101",2021,14.6014733508923
"102",2021.25,14.5979820477222
"103",2021.5,14.6249598976344
"104",2021.75,14.635433643593
"105",2022,14.67473935589
"106",2022.25,14.7218332332467
"107",2022.5,14.7447426802075
"108",2022.75,14.7486036777222
"109",2023,14.7739263128381
